task,preferred_screenshot,alternate_screenshots,target_hint
use work bench timeline,screenshots/p06_01_work_bench_timeline_view.png,screenshots/p07_01_work_bench_stages_view.png | screenshots/p08_01_work_bench_pick_return_view.png,"Explain Timeline controls, grouping, status filters, Ending <72h, KPI cards, colors, overdue/ending soon, and timeline bar actions."
why is an item missing from the work bench timeline,screenshots/p06_01_work_bench_timeline_view.png,screenshots/p08_01_work_bench_pick_return_view.png,"Check status filters, date range, customer on the order, line start/end dates, actual pickup/return dates, returned line filtering, and range overlap."
use work bench stages,screenshots/p07_01_work_bench_stages_view.png,screenshots/p06_01_work_bench_timeline_view.png,"Explain Request, Quote, Reservation, Order, Received, Closed columns and that status changes happen inside the rental order."
use work bench pick return,screenshots/p08_01_work_bench_pick_return_view.png,screenshots/p20_01_rental_order_actual_dates_popup_1.png,Explain Pick/Return as a movement checklist showing Equipment out and Equipment back by day; actual dates are recorded on rental order line items.
use dashboard availability,screenshots/p10_01_dashboard_availability_and_utilization_view.png,screenshots/p09_01_dashboard_map_view.png,"Explain availability/demand controls, donut counts/colors, trend lines, upcoming demand, incidents, and status/date/assignment dependencies."
why is availability negative,screenshots/p10_01_dashboard_availability_and_utilization_view.png,screenshots/p14_01_rental_order_quote_detail_page_2.png,"Explain committed/potential availability, demand from statuses, shortfalls below zero, quote/request demand, and incoming purchase orders."
use dashboard map,screenshots/p09_01_dashboard_map_view.png,screenshots/p33_01_asset_detail_view.png | screenshots/p34_01_asset_detail_current_location_map_popup.png,"Explain Units vs Locations, street/satellite, marker colors, current/base coordinate fallback, and missing-coordinate behavior."
add line item on rental order,screenshots/p14_01_rental_order_quote_detail_page_2.png,screenshots/p19_01_rental_order_quote_booked_dates_popup.png | screenshots/p20_01_rental_order_actual_dates_popup_1.png,"Add line item, choose equipment type, open Booked Dates, enter Start/End, choose Period/Rate, select Unit when required, and use Actual Dates only when equipment goes out or returns."
why can't I select a unit,screenshots/p14_01_rental_order_quote_detail_page_2.png,screenshots/p19_01_rental_order_quote_booked_dates_popup.png,"Explain unit locking and availability by status: quote/quote_rejected/requested lock units, reservation optional, ordered allows TBD but actual pickup requires unit/bundle, received/closed require unit/bundle."
why can't I record actual pickup,screenshots/p20_01_rental_order_actual_dates_popup_1.png,screenshots/p14_01_rental_order_quote_detail_page_2.png,"Explain actual pickup requires a selected unit or valid bundle, cannot be in the future, and uses actual field event dates."
why is my asset not showing on the map,screenshots/p09_01_dashboard_map_view.png,screenshots/p33_01_asset_detail_view.png | screenshots/p34_01_asset_detail_current_location_map_popup.png,Explain map markers require coordinates on current location or base location; text-only locations can appear in tables but cannot plot.
explain asset current location versus base location,screenshots/p33_01_asset_detail_view.png,screenshots/p34_01_asset_detail_current_location_map_popup.png | screenshots/p09_01_dashboard_map_view.png,Explain base location is normal yard/branch/home; current location is present tracked physical location; blank current location means same as base location in UI.
create rental order,screenshots/p12_01_rental_order_table.png,screenshots/p13_01_rental_order_quote_detail_page_1.png | screenshots/p14_01_rental_order_quote_detail_page_2.png,"Use Rental Order Table for New RO, then detail page screenshots."
create quote,screenshots/p11_01_quotes_table.png,screenshots/p13_01_rental_order_quote_detail_page_1.png | screenshots/p14_01_rental_order_quote_detail_page_2.png,"Use Quotes Table for New Quote, then detail page screenshots."
add booked dates,screenshots/p19_01_rental_order_quote_booked_dates_popup.png,screenshots/p14_01_rental_order_quote_detail_page_2.png,Use Booked Dates popup for planned Start and End.
record actual dates,screenshots/p20_01_rental_order_actual_dates_popup_1.png,screenshots/p20_02_rental_order_actual_dates_popup_2.png,Use Actual Dates popup for actual pickup/delivery and returned dates.
add pause period,screenshots/p21_01_rental_order_add_pause_period.png,screenshots/p20_01_rental_order_actual_dates_popup_1.png,Use Add Pause Period screenshot.
add additional fee,screenshots/p17_01_rental_order_quote_additional_fee_popup.png,screenshots/p14_01_rental_order_quote_detail_page_2.png,Use Additional Fee popup. Fee rows save when fee name is filled.
generate customer link,screenshots/p25_01_rental_order_quote_customer_update_page.png,screenshots/p26_01_customer_link_page_for_rental_order_quote_1.png | screenshots/p26_02_customer_link_page_for_rental_order_quote_2.png,Use Customer Update page for Generate customer link and Share link.
create customer,screenshots/p44_01_customer_table_view.png,screenshots/p46_01_customer_detail_view_1.png | screenshots/p47_01_customer_detail_view_2.png,"Use Customer Table for New Customer, then Customer Detail screenshots."
create asset,screenshots/p32_01_assets_table_view.png,screenshots/p33_01_asset_detail_view.png,"Use Assets Table for Add Equipment/Asset, then Asset Detail."
set asset current location,screenshots/p34_01_asset_detail_current_location_map_popup.png,screenshots/p33_01_asset_detail_view.png,Use Current Location Map Popup. Current location is optional; blank means same as base location in UI.
create work order,screenshots/p28_01_work_orders_table_view.png,screenshots/p29_01_work_order_detail_view_1.png | screenshots/p29_02_work_order_detail_view_2.png | screenshots/p30_01_work_order_detail_view_3.png,"Use Work Orders Table, then Work Order Detail screenshots."
create equipment type,screenshots/p36_01_equipment_page_table_view.png,screenshots/p37_01_equipment_detail_page.png,"Use Equipment Table, then Equipment Detail."
create location,screenshots/p38_01_location_table_view.png,screenshots/p38_02_location_detail_view_1.png | screenshots/p39_01_location_detail_view_2.png,"Use Locations Table, then Location Detail."
create part,screenshots/p31_01_parts.png,,Use Parts page for New part.
